City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,nisia floresta,-6.0911,-35.2086,25.45,78,100,3.13,BR,1667868722
155,lokosovo,61.1333,74.8167,-7.29,95,100,3.41,RU,1667868722
156,crotone,39.0851,17.1178,14.55,72,0,1.96,IT,1667868723
157,cruzeiro do oeste,-23.785,-53.0733,17.15,62,32,1.34,BR,1667868723
158,nabire,-3.3667,135.4833,30.7,63,61,1.2,ID,1667868561
159,ribeira grande,38.5167,-28.7,17.1,72,100,2.68,PT,1667868574
160,ust-ishim,57.6935,71.1665,-1.94,78,100,1.45,RU,1667868724
161,starodub,52.5844,32.7633,4.29,74,100,5.3,RU,1667868725
162,orshanka,56.9161,47.8933,0.05,96,100,3.28,RU,1667868725
163,forestville,38.8451,-76.875,19.73,58,0,0.0,US,1667868726
164,caranavi,-15.8167,-67.55,20.55,56,100,1.19,BO,1667868435
165,half moon bay,37.4636,-122.4286,13.51,75,40,6.17,US,1667868560
166,souillac,-20.5167,57.5167,22.21,88,20,2.06,MU,1667868621
167,butaritari,3.0707,172.7902,26.87,75,29,2.86,KI,1667868587
168,nokaneng,-19.6667,22.2667,21.03,82,100,1.28,BW,1667868728
169,nome,64.5011,-165.4064,0.04,93,100,15.43,US,1667868391
170,mangaluru,12.8667,74.8833,24.48,94,100,1.54,IN,1667868728
171,henties bay,-22.116,14.2845,16.32,90,2,1.9,NA,1667868729
172,muros,42.7762,-9.0603,14.82,84,100,7.98,ES,1667868729
173,maxixe,-23.8597,35.3472,23.77,87,39,3.18,MZ,1667868730
174,sokoni,-6.4333,39.55,25.62,84,11,3.59,TZ,1667868730
175,tiksi,71.6872,128.8694,-17.33,91,100,7.97,RU,1667868626
176,yokadouma,3.5167,15.05,21.66,91,100,0.86,CM,1667868731
177,cacequi,-29.8836,-54.825,15.09,68,0,5.66,BR,1667868732
178,meulaboh,4.1363,96.1285,25.53,85,79,0.84,ID,1667868566
179,khorixas,-20.3667,14.9667,17.64,50,0,0.43,NA,1667868732
180,norman wells,65.282,-126.8329,-15.98,85,20,4.12,CA,1667868607
181,puerto el triunfo,13.2833,-88.55,25.7,82,30,0.27,SV,1667868733
182,asfi,32.2994,-9.2372,17.84,82,84,1.54,MA,1667868734
183,orsha,54.5153,30.4053,6.5,96,100,4.86,BY,1667868543
184,tuckahoe,37.5901,-77.5564,19.77,63,0,0.45,US,1667868735
185,pevek,69.7008,170.3133,-16.99,95,15,0.58,RU,1667868735
186,kahului,20.8947,-156.47,31.01,62,0,10.8,US,1667868735
187,ahuimanu,21.4447,-157.8378,29.84,67,40,8.75,US,1667868736
188,port lincoln,-34.7333,135.8667,26.21,41,100,6.97,AU,1667868737
189,husavik,66.0449,-17.3389,4.29,90,100,4.54,IS,1667868610
190,shu,43.5983,73.7614,7.11,80,100,3.56,KZ,1667868738
191,new norfolk,-42.7826,147.0587,24.84,34,20,0.45,AU,1667868557
192,ewa beach,21.3156,-158.0072,29.97,57,40,8.75,US,1667868738
193,kaitangata,-46.2817,169.8464,13.88,72,100,2.84,NZ,1667868559
194,alofi,-19.0595,-169.9187,26.94,65,75,6.17,NU,1667868740
195,douglas,41.3,-96.167,8.7,41,0,6.17,US,1667868681
196,chifeng,42.2683,118.9636,4.47,30,1,2.13,CN,1667868742
197,belmonte,-15.8631,-38.8828,21.82,77,100,3.17,BR,1667868742
198,katsuura,35.1333,140.3,17.23,71,0,4.76,JP,1667868743
199,constitucion,-35.3333,-72.4167,12.56,81,97,4.6,CL,1667868743
200,road town,18.4167,-64.6167,28.05,75,100,5.13,VG,1667868627
201,nouadhibou,20.931,-17.0347,19.99,77,6,3.6,MR,1667868744
202,sokoto,13.0609,5.239,23.46,20,59,4.21,NG,1667868744
203,atbasar,51.8,68.3333,-5.54,95,27,2.4,KZ,1667868745
204,gossas,14.4912,-16.0642,25.88,41,66,3.15,SN,1667868745
205,omsukchan,62.5333,155.8,-11.94,93,100,1.92,RU,1667868746
206,hami,42.8,93.45,7.22,30,100,0.67,CN,1667868746
207,sinop,41.7711,34.8709,10.52,95,100,2.04,TR,1667868747
208,caldwell,43.6629,-116.6874,7.86,51,75,3.6,US,1667868747
209,goderich,43.7501,-81.7165,8.84,57,12,5.14,CA,1667868748
210,codrington,-38.2667,141.9667,23.29,65,6,4.48,AU,1667868657
211,palu,-0.8917,119.8707,28.57,73,99,0.37,ID,1667868748
212,talnakh,69.4865,88.3972,-19.81,100,88,2.56,RU,1667868575
213,lipari,38.4674,14.954,17.4,60,17,1.77,IT,1667868749
214,slawno,54.3628,16.6789,11.4,83,100,5.65,PL,1667868749
215,sobolevo,54.4299,31.8996,5.42,89,100,5.16,RU,1667868750
216,jiaojiang,28.6803,121.4428,20.0,68,0,1.89,CN,1667868750
217,longyearbyen,78.2186,15.6401,-4.09,80,75,6.69,SJ,1667868551
218,naze,28.3667,129.4833,21.51,59,2,4.54,JP,1667868717
219,thompson,55.7435,-97.8558,-20.91,84,20,0.0,CA,1667868580
220,beisfjord,68.3751,17.5988,3.91,96,99,1.54,NO,1667868751
221,davila,18.4726,120.5763,25.99,74,55,4.23,PH,1667868752
222,huarmey,-10.0681,-78.1522,18.34,82,47,3.12,PE,1667868752
223,sibolga,1.7427,98.7792,25.6,81,100,0.77,ID,1667868605
224,dezful,32.3811,48.4058,18.42,23,0,1.62,IR,1667868753
225,ternate,0.8,127.4,28.87,70,100,1.44,ID,1667868753
226,alenquer,-1.9417,-54.7383,23.95,94,100,1.26,BR,1667868754
227,rovaniemi,66.5,25.7167,-3.33,100,100,0.51,FI,1667868754
228,verkhoyansk,67.5447,133.385,-18.24,98,100,1.15,RU,1667868755
229,redlands,34.0556,-117.1825,16.85,83,99,1.34,US,1667868662
230,virginia beach,36.8529,-75.978,21.12,59,20,2.06,US,1667868753
231,mehran,33.1222,46.1646,17.15,22,0,2.17,IR,1667868755
232,tessalit,20.1986,1.0114,22.08,18,0,4.37,ML,1667868756
233,richards bay,-28.783,32.0377,21.23,94,90,3.25,ZA,1667868756
234,koungou,-12.7336,45.2042,25.84,78,40,4.12,YT,1667868757
235,lagoa,39.05,-27.9833,17.27,67,100,8.2,PT,1667868757
236,san rafael,-34.6177,-68.3301,24.94,27,100,5.23,AR,1667868758
237,doctor juan manuel frutos,-25.3667,-55.8,17.36,62,42,1.52,PY,1667868758
238,zhangye,38.9342,100.4517,4.81,34,0,1.57,CN,1667868759
239,colwyn bay,53.2948,-3.7267,13.3,3,100,9.39,GB,1667868759
240,nyurba,63.2842,118.3319,-15.36,96,100,2.15,RU,1667868759
241,poddorye,57.4695,31.1156,5.82,95,100,4.44,RU,1667868760
242,comodoro rivadavia,-45.8667,-67.5,22.92,31,40,2.57,AR,1667868760
243,cidreira,-30.1811,-50.2056,16.47,82,12,5.27,BR,1667868568
244,kibondo,-3.5864,30.7203,15.32,96,100,1.38,TZ,1667868761
245,grand gaube,-20.0064,57.6608,22.22,78,13,1.34,MU,1667868548
246,colares,38.7992,-9.4469,19.31,96,75,6.26,PT,1667868762
247,pipar,26.3856,73.5378,22.75,35,25,1.18,IN,1667868762
